109,3,Told You,Jon Vinyl,4
110,3,Touch You,Roy Woods,4
111,3,On One (feat. Freddie Gibbs),Joyce Wrice,4
112,3,Messy Love,NAO(나오),4
113,4,One More Fight,AJ Mitchell(에이제이 미첼),1
114,4,Better To Lie,Chris James(크리스 제임스),1
115,4,Nobody Ain't You,Christian Lalama (크리스티안 라라마),1
116,4,we made it.,David Hugo,1
117,4,After All,Elton John(엘튼 존),1
118,4,Anyone,Justin Bieber(저스틴 비버),1
119,4,Can't Be You,L Devine,1
120,4,ex i never had,LANY(레이니),1
121,4,Sims,Lauv(라우브),1
122,4,Butterflies (feat. FLETCHER),MAX(맥스),1
123,4,Wait To Wake Me Up,Lepani,1
124,4,Convince Me Otherwise,Maroon 5(마룬 파이브),1
125,4,Your Life Your Time,Christian Leave,1
126,4,Self Sabotage,MASN,1
127,4,20 Minutes,Years & Years(이어즈 & 이어즈),1
128,4,Go The Distance,New Rules,1
129,4,Connection,OneRepublic(원리퍼블릭),1
130,4,Hide and Seek,Peder Elias,1
131,4,Paris,The 1975,1
132,4,Can I Kiss You?,Dahl,1
133,5,Oscar,pH-1,2
134,5,LOVE me,BE'O (비오),2
135,5,못 지워 (Feat. Skinny Brown) (Prod. TOIL),TRADE L,2
136,5,매초마다 죽어가고 있어 (with. 한요한),용용(YongYong),2
137,5,기억여행 (fade away),크루셜스타 (CRUCiAL STAR),2
138,5,Movie (Feat. Jayci Yucca),seoseo (서서),2
139,5,"Flamingo (Feat. Skinny Brown, Jayci Yucca, Urb Fisher)",Midas P,2
140,5,WHERE YOU AT (Feat. 박현진),Cri De Joie (크리드조이),2
141,5,7월이 지나도 (Feat. KURO),Dept(뎁트),2
142,5,Silly love (Feat. NASON & 강다나),gani,2
143,5,I Don't Love You (Feat. 쿠기),GRAY (그레이),2
144,5,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,2
145,5,"Muse (Feat. 박재범, Sik-K) (Prod. SLO)",Woodie Gochild,2
146,5,If We (With mOnSteR nO.9),크록(CROQ),2
147,5,if i die (Feat. ASH ISLAND),Skinny Brown,2
148,5,Lonely,ASH ISLAND,2
149,5,HERO (Feat.미란이),김뮤지엄 (KIMMUSEUM),2
150,5,그래 그냥 내게 바로 (Skip And Kiss) (Prod. GroovyRoom),식케이 (Sik-K),2
151,5,"Drama (Feat. Skinny Brown, SINCE, 안병웅)",Minit,2
152,5,Shawty (feat. 쿠기 (Coogie)),CAMO,2
153,5,여름이 가기 전에 (Feat. KURO),Dept(뎁트),2
154,5,August (Feat. KURO),서액터,2
155,5,아메라는 도시에 비가 와 (feat. 디핵 (D-Hack)),EB,2
156,5,못참아! (Feat. 로꼬),미노이(meenoi),2
157,5,Long Run (Feat. 호미들),한요한,2
158,5,Happy Call,팔로알토 (Paloalto),2
159,5,같이 있어줘 (feat. Rheehab),숨셔(Sumsher),2
160,5,Pick up your phone,미란이 (Mirani),2
161,5,Love Theory,태용 (TAEYONG),2
162,6,I’M BLESSED,HONNE(혼네),3
163,6,A Dream of You,Far Caspian,3
164,6,Homage,Mild High Club,3
165,6,Cream Shirt,Hauskey,3
166,6,Who Should I Be,The Brummies,3
167,6,Sunrise,Faime,3
168,6,Movie,Tom Misch,3
169,6,Cotton Candy Clouds,VALNTN(발렌티),3
170,6,I'm Done,Mina Okabe,3
171,6,Memories,Conan Gray,3
172,6,Feel Something,Fiji Blue,3
173,6,Gentleman,All The Rest,3
174,6,Circles,Gavin James,3
175,6,"the older you get, the less you cry",LANY(레이니),3
176,6,Sundays (feat. Loony),Jon Vinyl,3
177,7,Love Again,솔루션스(THE SOLUTIONS),4
178,7,Destiny,불독맨션(Bulldogmansion),4
179,7,그대와 함께,몽니(Monni),4
180,7,21세기의 어떤 날,페퍼톤스(Peppertones),4
181,7,모노 트레인,데이브레이크(DAYBREAK),4
182,7,걷고 싶은 거리,보드카 레인(Vodka Rain),4
183,7,조깅,LUCY,4
184,7,Free하게,DAY6 (데이식스),4
185,7,Prince,소란(SORAN),4
186,7,그대랑,이적,4
187,7,너라서,빌리어코스티,4
188,7,시간을 거슬러,원 모어 찬스(one more chance),4
189,7,4242,엔플라잉(N.Flying),4
190,7,BABY,메이트(Mate),4
191,7,천국의 나날들,언니네 이발관,4
192,8,"L.O.V.E. (feat. EARTHGANG, Jon Batiste, Sherwyn)",Yung Bae(영 배),1
193,8,i love u,Sally Boy,1
194,8,Sixty,Weston Estate,1
195,8,Enjoy The Weather,Chris James,1
196,8,OYSTER,Hadji Gaviota,1
197,8,POSE,MICHELLE,1
198,8,Real Life,Claire Rosinkranz,1
199,8,Stuck In A Bubble,George Alice,1
200,8,Be Alright Forever,Alex Aiono,1
201,8,愛してる トーマス (I Love You Tomas),Brother Alfred,1
202,8,That's What Love Is ,Justin Bieber(저스틴 비버),1
203,8,Issues/Hold On,Teyana Taylor(테야나 테일러),1
204,8,Skate,Bruno Mars(브루노 마스),1
205,8,Face to Face,Rex Orange County(렉스 오렌지 카운티),1
206,8,Moon Ride,Los Retros(로스 레트로스),1
207,8,Up Down,Silk Tonic,1
208,8,FOMO,Amber Mark(앰버 마크),1
209,8,Cure,Valley,1
210,8,Zebra,Cal in Red,1
211,8,On A String,Mamas Gun(마마스 건),1
212,8,Suddenly,Gabe James,1
213,9,Intro (With 팔로알토 & 허클베리피),비프리(B-Free),2
214,9,Positive Vibes (feat. T 윤미래),팔로알토 (Paloalto),2
